theta_st,theta_cp,theta_it,FK,FKS,CLU
0.025,0.025,0.05,0.914949188,-0.001209678,0.045977405
0,0.025,0.0125,0.933161501,-0.001261722,0.019957004
0,0,0.0125,0.933075755,-0.001459855,0.019391611
0.05,0.075,0.05,0.900672588,-0.001575271,0.049469536
0.025,0.05,0.0375,0.927047857,-0.001596211,0.037566945
0,0,0,0.924509795,-0.001704679,0.017869137
0,0.025,0,0.934413383,-0.001966304,0.017469087
0,0.05,0,0.934413383,-0.001966304,0.017469087
0,0.075,0.025,0.92792246,-0.002235852,0.041291217
0.05,0.1,0.05,0.874202999,-0.002362755,0.077445544
0,0.1,0.0125,0.931558063,-0.002579,0.035892294
0,0.075,0,0.934310488,-0.002888156,0.017429253
0.025,0.05,0.05,0.907643685,-0.003211669,0.051718749
0.025,0.075,0.025,0.932184004,-0.003842778,0.030975165
0,0,0.05,0.910018831,-0.003906726,0.053544235
0.025,0.1,0.025,0.928179696,-0.004431375,0.034738673
0,0.05,0.0375,0.918421875,-0.004547437,0.049213827
0,0.075,0.0375,0.907515067,-0.005069904,0.058682474
0,0.075,0.0125,0.932475538,-0.005092562,0.034690754
0,0.025,0.0375,0.922297565,-0.00518429,0.044866829
0.025,0.1,0.0375,0.897585755,-0.005225379,0.066269501
0,0.1,0.025,0.9175044,-0.005530255,0.051371401
0.025,0.075,0.05,0.889860099,-0.005647278,0.071157301
0,0.025,0.05,0.906889126,-0.005754503,0.057189871
0,0.05,0.05,0.898674721,-0.006152361,0.065759293
0.025,0.075,0.0375,0.918096043,-0.006294414,0.044013758
0,0.05,0.025,0.930657736,-0.006461209,0.038059154
0,0.1,0.0375,0.882117294,-0.007313141,0.090379158
0.025,0.1,0.05,0.860415147,-0.008520357,0.105287029
0,0.075,0.05,0.877152639,-0.009187908,0.09314364
0,0.1,0.05,0.84578699,-0.011719861,0.130319667
