theta_st,theta_cp,theta_it,FK,FKS,CLU,Dev
0.055,0.0775,0.03875,0.926533385,0.008552395,0.024388433,-2.446010086
0.0325,0.055,0.005,0.931077889,0.008319407,0.002425703,2.502095382
0.0325,0.0325,0.0275,0.932055386,0.008286809,0.008777066,-2.446010086
0.0325,0.055,0.0275,0.932904265,0.008282009,0.017525185,-2.446010086
0.055,0.01,0.005,0.92892568,0.008134159,0.005120735,-2.446010086
0.055,0.1,0.03875,0.91224821,0.007430631,0.03652322,-2.446010086
0.0325,0.055,0.01625,0.932295473,0.007401929,0.005657579,2.496685011
0.0325,0.0325,0.005,0.930692035,0.007359557,0.00196093,2.49910097
0.0325,0.01,0.005,0.929371556,0.006747296,0.002960145,-2.446010086
0.0325,0.01,0.0275,0.930580566,0.006118567,0.006208121,-2.446010086
0.0325,0.0325,0.03875,0.930957845,0.005580761,0.023518231,-2.446010086
0.0325,0.01,0.01625,0.930177562,0.005496856,0.003445997,-2.446010086
0.055,0.01,0.01625,0.928874233,0.005074573,0.004757089,-2.446010086
0.01,0.01,0.03875,0.930837802,0.004898017,0.026281962,-2.446010086
0.0325,0.0325,0.01625,0.931755277,0.004732113,0.004699873,-2.446010086
0.0325,0.01,0.05,0.925813124,0.003380449,0.032015363,-2.446010086
0.01,0.01,0.005,0.932123982,0.003111981,0.009403711,2.517223249
0.01,0.01,0.01625,0.932852817,0.002259203,0.014079043,-2.446010086
0.055,0.0325,0.05,0.924072494,0.002241554,0.028211647,-2.446010086
0.01,0.0325,0.01625,0.933341566,0.002009699,0.016302306,2.530168004
0.01,0.01,0.0275,0.932561283,0.001921732,0.020052612,-2.446010086
0.01,0.0775,0.005,0.93251841,0.001881865,0.012359971,2.575378417
0.01,0.0325,0.005,0.932184004,0.001851082,0.010174978,2.5506145
0.01,0.0325,0.0275,0.932724199,0.001847125,0.023509976,-2.446010086
0.01,0.055,0.005,0.932355494,0.001621254,0.010734942,2.566755771
0.055,0.055,0.05,0.91584094,0.000855112,0.034453405,-2.446010086
0.055,0.0775,0.05,0.901229933,0.000404503,0.04689068,-2.446010086
0.01,0.055,0.01625,0.93325582,5.88E-05,0.019538953,2.529605923
0.055,0.1,0.05,0.876766785,-0.000135416,0.071539249,-2.446010086
0.01,0.1,0.005,0.933007159,-0.000424805,0.027961076,-2.446010086
0.0325,0.055,0.03875,0.926430491,-0.000466783,0.035832714,2.456626226
0.0325,0.0325,0.05,0.915789493,-0.000604407,0.044057093,-2.446010086
0.0325,0.0775,0.0275,0.931686681,-0.000864713,0.028566087,2.45031948
0.01,0.1,0.01625,0.931549488,-0.001749078,0.035225312,-2.446010086
0.0325,0.055,0.05,0.907532216,-0.002766763,0.050096603,-2.446010086
0.01,0.0325,0.03875,0.923832407,-0.002773693,0.041898179,-2.446010086
0.0325,0.1,0.0275,0.927142177,-0.002803671,0.031798533,2.453312398
0.0325,0.0775,0.03875,0.917933127,-0.002963901,0.042151877,-2.446010086
0.01,0.01,0.05,0.912033847,-0.003249883,0.049915122,-2.446010086
0.01,0.0775,0.03875,0.908063837,-0.003370228,0.056685708,-2.446010086
0.0325,0.0775,0.05,0.890717553,-0.003933086,0.067705947,-2.446010086
0.01,0.0325,0.05,0.908475415,-0.004028332,0.054220429,-2.446010086
0.01,0.055,0.05,0.899935178,-0.004866803,0.062428519,-2.446010086
0.01,0.0775,0.0275,0.927013559,-0.00488922,0.041052569,2.464864913
0.01,0.055,0.03875,0.918550493,-0.004895728,0.047558842,-2.446010086
0.01,0.055,0.0275,0.931112187,-0.00497024,0.036590247,-2.446010086
0.0325,0.1,0.03875,0.898417485,-0.005634364,0.062620118,-2.446010086
0.01,0.1,0.0275,0.916895608,-0.005767713,0.050000764,2.451324458
0.01,0.0775,0.01625,0.932509836,-0.0059209,0.033238351,-2.446010086
0.0325,0.1,0.05,0.864796734,-0.00624771,0.097010982,-2.446010086
0.01,0.0775,0.05,0.880042257,-0.006653628,0.087719498,-2.446010086
0.01,0.1,0.03875,0.885041211,-0.007175614,0.084103292,-2.446010086
0.01,0.1,0.05,0.851600525,-0.011068752,0.120484509,-2.446010086
