theta_st,FK,FKS,CLU
0.0,0.9406458227569152,0.0003772705764445199,0.017606057998
0.005,0.9406458227569152,0.0011076610333298211,0.0102970750512
0.01,0.9406458227569152,0.00467767744299359,0.0062421165
0.015000000000000003,0.9406458227569152,0.007082223550065303,0.00356206526551
0.02,0.9406458227569152,0.007881646156541411,0.00212272859766
0.025,0.9406458227569152,0.008579966857093406,0.00218791931257
0.030000000000000006,0.9406458227569152,0.0090621262614911,0.00281687027142
0.035,0.9406458227569152,0.010376557265821125,0.00357321660313
0.04,0.9406458227569152,0.0113375953243612,0.00430672537256
0.045,0.9406458227569152,0.012184232264957228,0.00490907327728
0.05,0.9406458227569152,0.013708497740418385,0.00537180744189
0.05500000000000001,0.9406458227569152,0.014373505211314207,0.00574044673059
0.06000000000000001,0.9406458227569152,0.015584518314190648,0.00611437975173
0.065,0.9406458227569152,0.016992553919603883,0.00652941586975
0.07,0.9406458227569152,0.01797294632158531,0.00702956764149
0.075,0.9406458227569152,0.019781028504329667,0.00756210264834
0.08,0.9406458227569152,0.021723841472194777,0.00819156691427
0.085,0.9406458227569152,0.0229110095034415,0.00883054847484
0.09,0.9406458227569152,0.024737093343369248,0.00948456422692
0.095,0.9406458227569152,0.025927700061609604,0.0102025072502
0.1,0.9406458227569152,0.027463239466430776,0.0109556003478
