theta_it,FK,FKS,CLU
0.0,0.9174962878645804,0.07446756169073535,0.0103615834638
0.001,0.9175399937369365,0.07497616796003415,0.00990272761865
0.002,0.9175319620684611,0.07458777273356404,0.00941487898659
0.003,0.917508965399447,0.07398910778507893,0.00895457962412
0.004,0.9174772409832647,0.0728088595263067,0.00837137312125
0.005,0.9173313747744922,0.07019599863468551,0.00774883146656
0.006,0.9169353591855935,0.0651221280273589,0.00700903354938
0.007000000000000001,0.9163365863993936,0.05781873157597892,0.00610913322375
0.008,0.9155546171918282,0.04894996983734795,0.00510563879437
0.009,0.9147933581139274,0.040617083739456,0.00414632302044
0.01,0.9140422625339765,0.03242892747029896,0.00319861123622
0.011,0.9133438296237374,0.024985214781918126,0.00334802842784
0.012,0.912633672151741,0.017602645113118362,0.00382809251502
0.013000000000000001,0.9120902631323158,0.011962756481092232,0.00430251604682
0.014000000000000002,0.9115841930950784,0.006690021351557369,0.00498899860156
0.015,0.9111506255395799,0.002896506407061894,0.00555116788013
0.016,0.9107484627522437,-0.0005701947953892516,0.00612750230464
0.017,0.9103504010377005,-0.003701701846788226,0.00670173979612
0.018,0.9099678443460728,-0.005860789649868696,0.00729571009938
0.019,0.9095857055441698,-0.007849898721255594,0.00810213287371
0.02,0.9091823914173947,-0.008937310075893552,0.00925962133585
