theta_st,theta_cp,theta_it,FK,FKS,CLU,Dev
0.0325,0.01,0.01625,0.896208043,0.007969258,0.005866674,-3.012462832
0.0775,0.0775,0.05,0.810976075,0.007260011,0.049123673,-3.012462832
0.01,0.01,0.005,0.898982384,0.006991262,0.013762644,-3.012462832
0.0775,0.1,0.05,0.782828806,0.006922729,0.066219903,-3.012462832
0.0775,0.0325,0.05,0.848675506,0.004702852,0.015435163,-3.012462832
0.0775,0.055,0.05,0.836138294,0.004678407,0.025909171,-3.012462832
0.01,0.1,0.005,0.8882801,0.00413489,0.038318365,-3.012462832
0.0775,0.01,0.05,0.857498963,0.0027505,0.017825409,-3.012462832
0.055,0.0325,0.03875,0.875470722,5.62E-05,0.014957937,-3.012462832
0.055,0.055,0.03875,0.86952696,-0.001601789,0.027301995,-3.012462832
0.055,0.1,0.03875,0.818184094,-0.002816404,0.068391918,-3.012462832
0.055,0.0775,0.03875,0.847551722,-0.003706776,0.052486081,-3.012462832
0.055,0.01,0.03875,0.87712128,-0.003795904,0.012927904,-3.012462832
0.055,0.1,0.05,0.784128181,-0.004672316,0.096268916,-3.012462832
0.0325,0.055,0.0275,0.888868331,-0.006151082,0.022803867,-3.012462832
0.055,0.01,0.05,0.86094933,-0.007997421,0.022159992,-3.012462832
0.0325,0.0325,0.0275,0.889913098,-0.008599255,0.015159383,-3.012462832
0.055,0.0325,0.05,0.854478795,-0.010137185,0.036159544,-3.012462832
0.0325,0.0775,0.0275,0.87492639,-0.010721671,0.052892273,-3.012462832
0.0325,0.1,0.0275,0.84300391,-0.010879377,0.071242953,-3.012462832
0.055,0.055,0.05,0.837341094,-0.011409955,0.065381803,-3.012462832
0.055,0.0775,0.05,0.811897929,-0.011678609,0.079540502,-3.012462832
0.0325,0.01,0.0275,0.889640932,-0.014343576,0.011690197,-3.012462832
0.0325,0.1,0.05,0.777394259,-0.014945646,0.127374425,-3.012462832
0.0325,0.01,0.03875,0.87631356,-0.015389842,0.026293665,-3.012462832
0.0325,0.1,0.03875,0.808008584,-0.015865858,0.096424697,-3.012462832
0.0325,0.01,0.05,0.863829026,-0.015932428,0.041917306,-3.012462832
0.01,0.1,0.01625,0.849650037,-0.016126881,0.079568233,-3.012462832
0.0325,0.0325,0.03875,0.875435604,-0.016632195,0.033888639,-3.012462832
0.0325,0.055,0.03875,0.864215327,-0.017103969,0.062989031,-3.012462832
0.01,0.055,0.01625,0.897340606,-0.017461385,0.02546358,-3.012462832
0.0325,0.0775,0.03875,0.835936364,-0.017617292,0.082268157,-3.012462832
0.01,0.1,0.05,0.767982571,-0.01767551,0.154082414,-3.012462832
0.0325,0.0325,0.05,0.853398909,-0.018296092,0.067915838,-3.012462832
0.0325,0.0775,0.05,0.805769796,-0.018893136,0.104169145,-3.012462832
0.01,0.1,0.03875,0.796876102,-0.019487898,0.123901856,-3.012462832
0.01,0.1,0.0275,0.823732776,-0.020452168,0.09711736,-3.012462832
0.01,0.0775,0.01625,0.886252022,-0.020969354,0.044904729,-3.012462832
0.0325,0.055,0.05,0.829184883,-0.022861039,0.092475767,-3.012462832
0.01,0.0325,0.01625,0.897568875,-0.022884085,0.022982589,-3.012462832
0.01,0.0775,0.03875,0.81945713,-0.023395785,0.104600181,-3.012462832
0.01,0.0325,0.0275,0.886401274,-0.023975655,0.040815481,-3.012462832
0.01,0.0775,0.05,0.79591913,-0.02399847,0.126511455,-3.012462832
0.01,0.0325,0.03875,0.869816686,-0.024212985,0.062461339,-3.012462832
0.01,0.01,0.03875,0.876023835,-0.024370536,0.049265798,-3.012462832
0.01,0.01,0.05,0.858684204,-0.024379188,0.068943789,-3.012462832
0.01,0.055,0.0275,0.878543568,-0.024797426,0.055492611,-3.012462832
0.01,0.055,0.05,0.815787274,-0.024945358,0.111723258,-3.012462832
0.01,0.0775,0.0275,0.848236528,-0.024951412,0.084530462,-3.012462832
0.01,0.055,0.03875,0.845260257,-0.026072389,0.089403678,-3.012462832
0.01,0.01,0.0275,0.886576866,-0.026206923,0.036423197,-3.012462832
0.01,0.01,0.01625,0.89547056,-0.026443225,0.021021546,-3.012462832
0.01,0.0325,0.05,0.841634299,-0.027786383,0.093562514,-3.012462832
