theta_st,FK,FKS,CLU
0.0,0.911679500356076,0.00017334420289354785,0.0268641741639
0.005,0.911679500356076,0.05450716419254491,0.0183957921203
0.01,0.911679500356076,0.07280072050937313,0.0152033005942
0.015000000000000003,0.911679500356076,0.07350749993646934,0.0117832996238
0.02,0.911679500356076,0.0739253162455453,0.0101387529073
0.025,0.911679500356076,0.07387118087840419,0.0107056134624
0.030000000000000006,0.911679500356076,0.07383303330772178,0.0128188829098
0.035,0.911679500356076,0.07409923659156525,0.0144374182001
0.04,0.911679500356076,0.07521166511210783,0.0158300651605
0.045,0.911679500356076,0.07578127121238185,0.017111698253
0.05,0.911679500356076,0.07623115707286567,0.018474026212
0.05500000000000001,0.911679500356076,0.07670619020796482,0.0199556708872
0.06000000000000001,0.911679500356076,0.07630891008879032,0.0214505218768
0.065,0.911679500356076,0.07650366060818777,0.0231616525007
0.07,0.911679500356076,0.07587548605681878,0.0250194214835
0.075,0.911679500356076,0.07516100483772443,0.0269849432486
0.08,0.911679500356076,0.07442486044155947,0.0289876519465
0.085,0.911679500356076,0.07404889811055657,0.0310010183084
0.09,0.911679500356076,0.0733399975036408,0.032990135561
0.095,0.911679500356076,0.07215720275976442,0.0349252721783
0.1,0.911679500356076,0.07162532234625635,0.0367961388307
