theta_it,FK,FKS,CLU
0.0,0.8897686395088151,0.12438515168484658,0.00907910887222
0.001,0.8898841503691651,0.12471202676435944,0.00857320287198
0.002,0.8900279710759254,0.12508488221299371,0.00824066115335
0.003,0.8903096023128662,0.12615894119603488,0.00819556439269
0.004,0.8904824447310148,0.12619145877715537,0.00833311104952
0.005,0.8906348853836015,0.12618792100687154,0.00837520835012
0.006,0.8908807885870068,0.12641679590763688,0.00848398483967
0.007000000000000001,0.8912635603445374,0.12706231078156127,0.00844095056679
0.008,0.8915810670672801,0.12720633209377524,0.00844724194209
0.009,0.8918687990840783,0.12732632235832791,0.0084480437148
0.01,0.8921203288460005,0.12702001182279823,0.0087089641464
0.011,0.8923875306114242,0.12690923110735883,0.00905753555304
0.012,0.8927018868150451,0.12707451678849052,0.00942997516365
0.013000000000000001,0.8929641266705156,0.12691818354305148,0.00979284586785
0.014000000000000002,0.8931945744229066,0.12655351365539907,0.0101070037413
0.015,0.893457271100786,0.12636313057124685,0.0103590861716
0.016,0.893594063784177,0.12560884301258995,0.0106264672489
0.017,0.8937971305596273,0.12511818833925376,0.0108355419955
0.018,0.8938954844115438,0.12398380066805918,0.0111858119868
0.019,0.8939200863958009,0.12313881419024283,0.0121196010944
0.02,0.8938535172771171,0.12205313437608403,0.0131927625712
