theta_st,FK,FKS,CLU
0.0,0.8920526089486458,0.0031928616043069525,0.059890066638
0.005,0.8920526089486458,0.030361848602354902,0.0528882602083
0.01,0.8920526089486458,0.0850937867164738,0.0397090292206
0.015000000000000003,0.8920526089486458,0.10919342453438338,0.0292875492086
0.02,0.8920526089486458,0.11813860458569099,0.0219689325665
0.025,0.8920526089486458,0.12148267956397618,0.0178280195951
0.030000000000000006,0.8920526089486458,0.12286395589109071,0.0147702562002
0.035,0.8920526089486458,0.1244547257658128,0.0120575270294
0.04,0.8920526089486458,0.1256631717704603,0.00952974837453
0.045,0.8920526089486458,0.12581363514731536,0.0102399361806
0.05,0.8920526089486458,0.12561078605965398,0.0137468105777
0.05500000000000001,0.8920526089486458,0.1241605815641961,0.0170406174282
0.06000000000000001,0.8920526089486458,0.12358520751385796,0.0203567588247
0.065,0.8920526089486458,0.12293447994045455,0.0238361734998
0.07,0.8920526089486458,0.12237105759961571,0.0272911699319
0.075,0.8920526089486458,0.12166654481816838,0.0307401769456
0.08,0.8920526089486458,0.12084746156204366,0.0340227901177
0.085,0.8920526089486458,0.12056284126457155,0.0370752427552
0.09,0.8920526089486458,0.12001891095156028,0.03995681427
0.095,0.8920526089486458,0.11938594965001001,0.0425698743822
0.1,0.8920526089486458,0.1187872962952464,0.0449640064877
