theta_st,theta_cp,theta_it,FK,FKS,CLU
0.0,0.0,0.0,0.85234428565,-0.00375326104924,0.0580139099789
0.0,0.0,0.0125,0.877294007868,0.00439559869425,0.0619000484628
0.0,0.0,0.025,0.877252659306,0.00124738439844,0.0632637378742
0.0,0.0,0.037500000000000006,0.87367187385,0.00025439591068,0.0678530097803
0.0,0.0,0.05,0.795572710236,-0.0103462616167,0.158846943639
0.0,0.025,0.0,0.877054186209,-0.00316702630492,0.0585663246569
0.0,0.025,0.0125,0.878410419037,0.00182346304804,0.061756455373
0.0,0.025,0.025,0.875028106678,-0.00158350035372,0.0661902385321
0.0,0.025,0.037500000000000006,0.79673873968,-0.0115609134864,0.156334167849
0.0,0.025,0.05,0.648049311284,-0.0116986437814,0.280216115808
0.0,0.05,0.0,0.877054186209,-0.00316702630492,0.0585663246569
0.0,0.05,0.0125,0.876301642383,-0.000682839792544,0.0651259742511
0.0,0.05,0.025,0.78916368315,-0.0106630362335,0.159174181556
0.0,0.05,0.037500000000000006,0.623322871301,-0.0114214229729,0.289170614352
0.0,0.05,0.05,0.477436875398,-0.0110369462294,0.362741994816
0.0,0.07500000000000001,0.0,0.871463860647,-0.00359500545526,0.065095591502
0.0,0.07500000000000001,0.0125,0.764511670578,-0.00739091851166,0.172446422867
0.0,0.07500000000000001,0.025,0.573208414344,-0.00944049172652,0.303596784789
0.0,0.07500000000000001,0.037500000000000006,0.422873313187,-0.00883920085736,0.371482143983
0.0,0.07500000000000001,0.05,0.320486004345,-0.00715729950055,0.408771072853
0.0,0.1,0.0,0.707450655231,-0.00164907677305,0.197809424676
0.0,0.1,0.0125,0.499624513684,-0.00530713669528,0.322507293025
0.0,0.1,0.025,0.359593474138,-0.00530338299525,0.381656886983
0.0,0.1,0.037500000000000006,0.283636166028,-0.00390862493868,0.411500062978
0.0,0.1,0.05,0.256825758528,-0.00247873244127,0.425881749368
0.025,0.0,0.0,0.867138801078,0.0956552343791,0.0186185260878
0.025,0.0,0.0125,0.875226579775,0.101789150274,0.0198149575195
0.025,0.0,0.025,0.877169962182,0.0583372906061,0.0357871347799
0.025,0.0,0.037500000000000006,0.875342355748,0.0312196581106,0.0434729014121
0.025,0.0,0.05,0.860969595651,0.0179714801911,0.0633226970764
0.025,0.025,0.0,0.868619079592,0.0982580285952,0.0174162253065
0.025,0.025,0.0125,0.878683319546,0.095761563427,0.023086343512
0.025,0.025,0.025,0.877881157446,0.0549591786011,0.0366770888113
0.025,0.025,0.037500000000000006,0.861531936092,0.0244504661863,0.0599239538467
0.025,0.025,0.05,0.739247699291,-0.00392454075807,0.182817256064
0.025,0.05,0.0,0.873928234933,0.0971792998752,0.0151448594359
0.025,0.05,0.0125,0.880031282662,0.087252268922,0.0259183375859
0.025,0.05,0.025,0.857306113072,0.0389717510159,0.0574638112415
0.025,0.05,0.037500000000000006,0.71861476693,0.00154406559348,0.182501431909
0.025,0.05,0.05,0.525409476851,-0.00668209686486,0.291518411427
0.025,0.07500000000000001,0.0,0.869842997023,0.0883712637132,0.0197161846866
0.025,0.07500000000000001,0.0125,0.840808036895,0.0518927493282,0.0537561055297
0.025,0.07500000000000001,0.025,0.687719121519,0.00820082734176,0.178077854068
0.025,0.07500000000000001,0.037500000000000006,0.480066643931,-0.00319906985734,0.283015607717
0.025,0.07500000000000001,0.05,0.32298345748,-0.00530096606542,0.342824862816
0.025,0.1,0.0,0.814237451053,0.0585815277496,0.0508601079342
0.025,0.1,0.0125,0.659676526875,0.0170251668903,0.169616566406
0.025,0.1,0.025,0.437808413725,0.000933718939718,0.27713950845
0.025,0.1,0.037500000000000006,0.292203588043,-0.0026715898647,0.340298851866
0.025,0.1,0.05,0.239236080319,-0.0022754831526,0.378693964209
0.05,0.0,0.0,0.866956867406,0.107343384827,0.0138678799963
0.05,0.0,0.0125,0.868619079592,0.110512945197,0.00945020190978
0.05,0.0,0.025,0.871811188567,0.11191784382,0.00820971439806
0.05,0.0,0.037500000000000006,0.873084724272,0.0975495288806,0.0140445296671
0.05,0.0,0.05,0.868428876208,0.072152749045,0.024609876061
0.05,0.025,0.0,0.865187148959,0.109458638702,0.0153499036924
0.05,0.025,0.0125,0.866320099554,0.10998275163,0.0103420003531
0.05,0.025,0.025,0.868701776716,0.108699034138,0.00787884772931
0.05,0.025,0.037500000000000006,0.864343638298,0.0930825378508,0.0180959854581
0.05,0.025,0.05,0.814526890986,0.0450664343054,0.0693627532876
0.05,0.05,0.0,0.856131813915,0.107352307648,0.0190164218493
0.05,0.05,0.0125,0.856181432189,0.111448682444,0.0119038222635
0.05,0.05,0.025,0.849276222361,0.10093818464,0.011851454842
0.05,0.05,0.037500000000000006,0.796126780965,0.0542809959909,0.0589450348931
0.05,0.05,0.05,0.62981459551,0.0109074650092,0.178758091057
0.05,0.07500000000000001,0.0,0.839385646368,0.109254516139,0.0214485558121
0.05,0.07500000000000001,0.0125,0.828395198629,0.100029928549,0.010331884656
0.05,0.07500000000000001,0.025,0.777883795479,0.064096894098,0.0431864001078
0.05,0.07500000000000001,0.037500000000000006,0.612547436084,0.0184648816536,0.157869927249
0.05,0.07500000000000001,0.05,0.40609406679,0.00216571606963,0.24360133051
0.05,0.1,0.0,0.808638855779,0.0965868736925,0.0149243354038
0.05,0.1,0.0125,0.76315543775,0.0697609426734,0.0332389539816
0.05,0.1,0.025,0.607172123044,0.0241778908059,0.139344804175
0.05,0.1,0.037500000000000006,0.391192045101,0.0039995914997,0.229831429506
0.05,0.1,0.05,0.248101211978,-0.00172419490176,0.301593771719
0.07500000000000001,0.0,0.0,0.856727233206,0.108971788158,0.0263767888158
0.07500000000000001,0.0,0.0125,0.857049751988,0.108704340523,0.0240057763276
0.07500000000000001,0.0,0.025,0.85740534962,0.113047848249,0.0213091010973
0.07500000000000001,0.0,0.037500000000000006,0.8570580217,0.11238274578,0.0163472128914
0.07500000000000001,0.0,0.05,0.853609551643,0.105838484452,0.0120899917734
0.07500000000000001,0.025,0.0,0.845960067701,0.107631201106,0.0319713553276
0.07500000000000001,0.025,0.0125,0.845521772946,0.110577283255,0.0295248648209
0.07500000000000001,0.025,0.025,0.843189714057,0.111833959144,0.0262845752485
0.07500000000000001,0.025,0.037500000000000006,0.838318853472,0.109644075614,0.0197919849869
0.07500000000000001,0.025,0.05,0.818893299117,0.0936068048449,0.01239080631
0.07500000000000001,0.05,0.0,0.830255883912,0.10659816131,0.0378669717659
0.07500000000000001,0.05,0.0125,0.826914920115,0.108165976695,0.0350907177989
0.07500000000000001,0.05,0.025,0.819587954956,0.108444824858,0.0297969493165
0.07500000000000001,0.05,0.037500000000000006,0.800245097725,0.0967173558464,0.0145652170396
0.07500000000000001,0.05,0.05,0.725594404169,0.0530802633935,0.052477251805
0.07500000000000001,0.07500000000000001,0.0,0.811839234466,0.108377000687,0.0417013888947
0.07500000000000001,0.07500000000000001,0.0125,0.804371684197,0.10596209226,0.0365342003819
0.07500000000000001,0.07500000000000001,0.025,0.783780100398,0.0950746229668,0.0234479416308
0.07500000000000001,0.07500000000000001,0.037500000000000006,0.719094410247,0.059280232985,0.0375087889492
0.07500000000000001,0.07500000000000001,0.05,0.557115554074,0.0197535430265,0.135343802604
0.07500000000000001,0.1,0.0,0.789295998548,0.104716753728,0.0402005815641
0.07500000000000001,0.1,0.0125,0.770234311537,0.0934162058842,0.0292663680897
0.07500000000000001,0.1,0.025,0.714612226143,0.0647639627514,0.0284073907622
0.07500000000000001,0.1,0.037500000000000006,0.565558930403,0.0259015247722,0.116040785032
0.07500000000000001,0.1,0.05,0.360858740131,0.00701618005306,0.192437920028
0.1,0.0,0.0,0.835854479186,0.104467849638,0.0406345679206
0.1,0.0,0.0125,0.836061221995,0.106637843289,0.0389228247981
0.1,0.0,0.025,0.835060586799,0.110973160055,0.0370548465216
0.1,0.0,0.037500000000000006,0.832372930279,0.112091963211,0.0345652451921
0.1,0.0,0.05,0.827344945158,0.110360443892,0.0305150993407
0.1,0.025,0.0,0.823044694726,0.10552210846,0.0456133715276
0.1,0.025,0.0125,0.821167470019,0.106631469107,0.0442554360216
0.1,0.025,0.025,0.817479178302,0.107495617194,0.0428175135146
0.1,0.025,0.037500000000000006,0.811549794533,0.108564030092,0.039715342983
0.1,0.025,0.05,0.798566346114,0.102225678008,0.0331121745641
0.1,0.05,0.0,0.808969644274,0.106831709144,0.0502079371806
0.1,0.05,0.0125,0.805405398243,0.106786474084,0.0485003059463
0.1,0.05,0.025,0.798326524455,0.105871732954,0.0459061894602
0.1,0.05,0.037500000000000006,0.784921320705,0.103307308911,0.0403170163398
0.1,0.05,0.05,0.754157990692,0.0840431077844,0.0243985688527
0.1,0.07500000000000001,0.0,0.793546630706,0.106225783033,0.0525986658871
